Finish No.590 image, Processing time : 5.375107288360596
Finish No.591 image, Processing time : 5.155649423599243
Finish No.592 image, Processing time : 5.242812871932983
Finish No.593 image, Processing time : 5.2453367710113525
Finish No.594 image, Processing time : 5.329066514968872
Finish No.595 image, Processing time : 5.317180156707764
Finish No.596 image, Processing time : 5.312309503555298
Finish No.597 image, Processing time : 5.294236660003662
Finish No.598 image, Processing time : 5.377741813659668
Finish No.599 image, Processing time : 5.39712381362915
Finish No.600 image, Processing time : 5.417425155639648
Finish No.601 image, Processing time : 5.332288026809692
Finish No.602 image, Processing time : 5.549554347991943
Finish No.603 image, Processing time : 5.333158493041992
Finish No.604 image, Processing time : 5.361893177032471
